"ID_PROG","FIRST.YEAR","LAST.YEAR","NEW.ID_PROG","COMMENTS","nbYear"
"930",2016,2020,"930","",5
"941",2017,2022,"941","",6
"944",2017,2022,"944","",6
"947",2017,2022,"947","",6
"948",2017,2020,"948","",4
"951",2017,2022,"951","",6
"953",2017,2019,"953","",3
"954",2017,2022,"954","",6
"955",2017,2022,"955","",6
"956",2017,2021,"956","",5
"958",2017,2021,"958","",5
"960",2020,2021,"960","",2
"971",2017,2021,"971","",5
"972",2017,2021,"972","",5
"973",2017,2022,"973","",6
"974",2017,2021,"974","",5
"975",2017,2021,"975","",5
"992",2018,2022,"992","",5
"993",2018,2022,"993","",5
"994",2019,2021,"994","",3
"996",2018,2021,"996","",4
"1003",2018,2022,"1003","",5
"1004",2018,2021,"1004","",4
"1009",2018,2021,"1009","",4
"1011",2018,2021,"1011","",4
"1013",2018,2022,"1013","",5
"1014",2018,2022,"1014","",5
"1042",2019,2022,"1042","",4
"1043",2019,2022,"1043","",4
"1044",2019,2022,"1044","",4
"1045",2019,2022,"1045","",4
"1054",2019,2021,"1054","",3
"1055",2019,2022,"1055","",4
"1056",2019,2021,"1056","",3
"1069",2019,2021,"1069","",3
"1086",2020,2022,"1086","",3
"1100",2022,2022,"1100","",1
"1102",2019,2022,"1102","",4
"1104",2020,2022,"1104","",3
"1108",2020,2022,"1108","",3
"1109",2020,2022,"1109","",3
"1110",2020,2022,"1110","",3
"1111",2020,2022,"1111","",3
"1112",2020,2022,"1112","",3
"1113",2020,2022,"1113","",3
"1114",2020,2022,"1114","",3
"1115",2020,2022,"1115","",3
"1118",2020,2022,"1118","",3
"1154",1990,1995,"1154","",6
"1160",2000,2002,"1160","",3
"1265",1994,1998,"1265","",5
"1266",2002,2008,"1266","",7
