"YEAR";"BIOGEOREF";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"ESPECE"
2000;"Atlantique";1,15384615384615;1,15384615384615;1,15384615384615;1,15384615384615;1,15384615384615;"ALCATT"
2001;"Atlantique";1,71428571428571;1,71428571428571;1,71428571428571;1,71428571428571;1,71428571428571;"ALCATT"
2002;"Atlantique";2,025;2,25;2,5;2,75;2,975;"ALCATT"
2003;"Atlantique";2,1;3;4;5;5,9;"ALCATT"
2004;"Atlantique";2,15521978021978;2,26648351648352;2,40384615384615;2,5;2,5;"ALCATT"
2005;"Atlantique";2,01071428571429;2,10714285714286;2,32142857142857;2,94642857142857;4,15178571428571;"ALCATT"
2006;"Atlantique";2,14285714285714;2,14285714285714;2,14285714285714;2,14285714285714;2,14285714285714;"ALCATT"
2007;"Atlantique";1,49929742388759;1,71428571428571;2;2,14285714285714;2,46428571428571;"ALCATT"
2008;"Atlantique";3;3;3;3;3;"ALCATT"
2009;"Atlantique";0,950649350649351;1,79220779220779;2,72727272727273;2,72727272727273;2,72727272727273;"ALCATT"
2010;"Atlantique";3;3;3;3;3;"ALCATT"
2011;"Atlantique";1,0021978021978;2,30769230769231;2,5;2,72727272727273;5,67272727272727;"ALCATT"
2012;"Atlantique";1,18793706293706;1,49475524475524;1,83566433566434;2,17657342657343;2,48339160839161;"ALCATT"
2013;"Atlantique";3;3;3;3;3;"ALCATT"
2014;"Atlantique";1,6;2,5;2,5;3,33333333333333;3,93333333333333;"ALCATT"
2015;"Atlantique";1,17115384615385;1,32692307692308;1,5;3,75;5,775;"ALCATT"
2016;"Atlantique";3;3;3;3;3;"ALCATT"
2017;"Atlantique";2,17207792207792;2,43506493506494;2,72727272727273;2,86363636363636;2,98636363636364;"ALCATT"
2018;"Atlantique";2,0125;2,125;2,25;2,375;2,4875;"ALCATT"
2019;"Atlantique";1,09821428571429;1,625;2,5;2,75;3;"ALCATT"
2020;"Atlantique";2,01538461538462;2,15384615384615;2,30769230769231;2,65384615384615;2,96538461538462;"ALCATT"
2021;"Atlantique";2,17857142857143;2,5;2,5;2,6865671641791;2,96865671641791;"ALCATT"
2022;"Atlantique";2,14285714285714;2,35714285714286;3;3,5625;4,84375;"ALCATT"
1990;"Atlantique";1,2;1,2;1,2;1,2;1,2;"ANTTRI"
1993;"Atlantique";0,6;0,6;0,6;0,6;0,6;"ANTTRI"
1995;"Atlantique";0,6;0,6;0,6;0,6;0,6;"ANTTRI"
1999;"Atlantique";0,555555555555556;0,555555555555556;0,555555555555556;0,555555555555556;0,555555555555556;"ANTTRI"
2000;"Atlantique";0,740740740740741;0,740740740740741;0,740740740740741;0,740740740740741;0,740740740740741;"ANTTRI"
2001;"Atlantique";1,48148148148148;1,48148148148148;1,48148148148148;1,48148148148148;1,48148148148148;"ANTTRI"
2002;"Atlantique";0,818318318318318;0,885885885885886;0,960960960960961;1,03603603603604;1,1036036036036;"ANTTRI"
2003;"Atlantique";1,07242063492063;1,08134920634921;1,09126984126984;1,10119047619048;1,11011904761905;"ANTTRI"
2004;"Atlantique";1,2625;1,375;1,5;2;2,45;"ANTTRI"
2005;"Atlantique";2,3375;2,375;2,41666666666667;2,45833333333333;2,49583333333333;"ANTTRI"
2006;"Atlantique";1,5426724137931;1,92672413793103;2,10591133004926;2,23214285714286;2,47321428571429;"ANTTRI"
2007;"Atlantique";1,2225;1,425;1,6875;1,94196428571429;2,12276785714286;"ANTTRI"
2008;"Atlantique";0,764583333333333;0,984195402298851;1,85924369747899;2,79545454545455;4,33269230769231;"ANTTRI"
2009;"Atlantique";0,944015444015444;2,14285714285714;2,30769230769231;2,4;2,69454545454546;"ANTTRI"
2010;"Atlantique";1,07785714285714;1,13571428571429;1,2;1,38947368421053;1,56;"ANTTRI"
2011;"Atlantique";3,3;4,57894736842105;6;6,75;7,425;"ANTTRI"
2012;"Atlantique";1,11964285714286;1,55357142857143;2,03571428571429;2,51785714285714;2,95178571428571;"ANTTRI"
2013;"Atlantique";0,898809523809524;1,48809523809524;2,14285714285714;3,07142857142857;3,90714285714286;"ANTTRI"
2014;"Atlantique";1,20428571428571;2,4;2,72727272727273;4;4,9;"ANTTRI"
2015;"Atlantique";1,23214285714286;2,32142857142857;2,5;2,75;3,28333333333333;"ANTTRI"
2016;"Atlantique";1,21408507223114;2,26123595505618;2,5;3;4,09285714285714;"ANTTRI"
2017;"Atlantique";1,51785714285714;2,35714285714286;3,10714285714286;3,30357142857143;5,66666666666667;"ANTTRI"
