"HABITAT";"SP";"ABUND025";"ABUND25";"ABUND50";"ABUND75";"ABUND90";"ABUND975";"NB_STATION_CAPTURE";"NB_STATION";"PROP_STATION_CAPTURE";"HABITAT_SP";"MIGRATION";"nb_site";"prop_site"
"Terrestre";"ATHNOC";0;0;0;0,125;0,35;0,4625;0,5;83,5;0,00462962962962963;"Terrestre";"Court";5;0,0175438596491228
"Terrestre";"BUTBUT";0;0;0;0;0;0;0;57,5;0;"Terrestre";"Court";7;0,0245614035087719
"Terrestre";"CAPEUR";0;0;0;0,625;1;1;2;83,5;0,0236694677871148;"Terrestre";"Long";19;0,0666666666666667
"Terrestre";"CARCHL";0;0;0;1;3;4,8375;13;57,5;0,23452380952381;"Terrestre";"Court";115;0,403508771929825
"Terrestre";"CARERY";0;0;0;0;0;0;0;108;0;"Terrestre";"Court";1;0,00350877192982456
"Terrestre";"CARINA";0;0;0;2;3,8;5,55;8;57,5;0,140873015873016;"Terrestre";"Court";86;0,301754385964912
"Terrestre";"CARLIS";0;0;0;1;2;4;9;57,5;0,173949579831933;"Terrestre";"Court";109;0,382456140350877
"Terrestre";"CARMEA";1;1;1;1;1;1;1;82,5;0,00983796296296296;"Terrestre";"Court";3;0,0105263157894737
"Terrestre";"CARNUS";0;0;0;0;0;0;0;91;0;"Terrestre";"Court";6;0,0210526315789474
"Terrestre";"CERRIS";0;0;0;0;0,8;1;1;59;0,0210526315789474;"Terrestre";"Court";28;0,0982456140350877
"Terrestre";"CERYLA";0;0;0;1;2;3,15;15,5;57,5;0,253571428571429;"Terrestre";"Court";204;0,715789473684211
"Terrestre";"CETCET";0;0;2;4,5;9,4;15,725;11;59;0,166666666666667;"Aquatique";"Court";80;0,280701754385965
"Terrestre";"CICLUS";0;0;0;0;0;0;0;84;0;"Aquatique";"Court";3;0,0105263157894737
"Terrestre";"CISJUN";0;0;0;0,25;1;1;1;65;0,0188746438746439;"Aquatique";"Court";13;0,0456140350877193
"Terrestre";"COCTES";0;0;0;0,5;1,45;2;4,5;57,5;0,0935314685314685;"Terrestre";"Court";64;0,224561403508772
"Terrestre";"CODULA";1;1;1;1;1;1;0,5;103,5;0,00490196078431373;"Terrestre";"Court";1;0,00350877192982456
"Terrestre";"COLBUS";0;0;0;0;0,199999999999999;0,800000000000001;1;59;0,0123456790123457;"Terrestre";"Court";30;0,105263157894737
"Terrestre";"COLLIV";0;0;0;0;0;0;0;82,5;0;"Terrestre";"Court";1;0,00350877192982456
"Terrestre";"CORFRU";0;0;0;0;0;0;0;36,5;0;"Terrestre";"Court";1;0,00350877192982456
"Terrestre";"CORONE";0;0;0;0;0;0;0;65;0;"Terrestre";"Court";8;0,0280701754385965
"Terrestre";"CUCCAN";0;0;0;0;0;0;0;59;0;"Terrestre";"Long";16;0,056140350877193
"Terrestre";"DELURB";0;0;0;0;0;0;0;81;0;"Terrestre";"Long";7;0,0245614035087719
"Terrestre";"DENMAJ";0;0;0;1;1,8;2,4;13;57,5;0,271543250327654;"Terrestre";"Court";198;0,694736842105263
"Terrestre";"DENMED";0;0;0;0;0;0,6625;1;57,5;0,0108024691358025;"Terrestre";"Court";33;0,115789473684211
"Terrestre";"DENMIN";0;0;0;0;0,200000000000001;0,975;1;57,5;0,0303308823529412;"Terrestre";"Court";60;0,210526315789474
"Terrestre";"DRYMAR";0;0;0;0;0;0,337499999999999;0,5;57,5;0,00458715596330275;"Terrestre";"Court";23;0,0807017543859649
"Terrestre";"EMBCIA";0;0;0;0;0;0;0;81;0;"Terrestre";"Court";3;0,0105263157894737
"Terrestre";"EMBCIR";0;0;0;1;2,4;5,19999999999999;7;73,5;0,0833333333333333;"Terrestre";"Court";61;0,214035087719298
"Terrestre";"EMBCIT";0;0;1;2;4;6,33749999999999;15;57,5;0,281578947368421;"Terrestre";"Court";106;0,371929824561403
"Terrestre";"EMBSCH";0;0;0;2;3,7;5,125;6;57,5;0,120261437908497;"Aquatique";"Court";54;0,189473684210526
"Terrestre";"ERIRUB";0;1;3;7;10,6;13,5375;44,5;57,5;0,75462962962963;"Terrestre";"Court";275;0,964912280701754
"Terrestre";"FALTIN";0;0;0;0;0;0;0;59;0;"Terrestre";"Court";5;0,0175438596491228
"Terrestre";"FICUCA";0;0;0;0;0,25;0,95;1;57,5;0,0177338355304457;"Terrestre";"Long";32;0,112280701754386
"Terrestre";"FRICOE";0;0;1;3;5;8,82499999999999;34;57,5;0,571428571428571;"Terrestre";"Court";223;0,782456140350877
"Terrestre";"GARGLA";0;0;0;1;1;2;15,5;57,5;0,25;"Terrestre";"Court";201;0,705263157894737
"Terrestre";"HIPICT";0;0;0;0,625;0,95;1,275;1;57,5;0,0248778998778999;"Terrestre";"Long";22;0,0771929824561404
"Terrestre";"HIPPOL";0;0;1,5;5;10,2;17,9;26;57,5;0,408058608058608;"Terrestre";"Long";178;0,624561403508772
"Terrestre";"HIRRUP";0;0;0;0;0;0;0;91;0;"Terrestre";"Court";1;0,00350877192982456
"Terrestre";"HIRRUS";0;0;0;0;0,950000000000001;1,4125;3;57,5;0,0359956826767404;"Terrestre";"Long";59;0,207017543859649
"Terrestre";"IXOMIN";0;0;0;0;0;0;0;56;0;"Aquatique";"Long";2;0,00701754385964912
"Terrestre";"JYNTOR";0;0;0;0;0;1,25;1;59;0,0178571428571429;"Terrestre";"Long";29;0,101754385964912
"Terrestre";"LANRIO";0;0;0;1,25;2,95;5,37499999999999;8,5;57,5;0,128434065934066;"Terrestre";"Long";64;0,224561403508772
"Terrestre";"LANSEN";0;0;0;0;0;0;0;83,5;0;"Terrestre";"Long";2;0,00701754385964912
"Terrestre";"LOCLUS";0;0;0;0;0;0;0;57,5;0;"Aquatique";"Long";8;0,0280701754385965
"Terrestre";"LOCNAE";0;0;0;0;1,1;2,2375;2,5;57,5;0,0681216931216931;"Aquatique";"Long";56;0,196491228070175
"Terrestre";"LOXCUR";0;0;0;0,875;1,25;1,4375;1;83,5;0,0102564102564103;"Terrestre";"Court";4;0,0140350877192982
"Terrestre";"LULARB";0;0;0;0;0;0;0;71;0;"Terrestre";"Court";11;0,0385964912280702
"Terrestre";"LUSMEG";0;0;2;5,75;13,4;21,4625;28;57,5;0,50660754651365;"Terrestre";"Long";194;0,680701754385965
"Terrestre";"LUSSVE";0;0;0;1;2,6;5,1125;2;57,5;0,0363756613756614;"Aquatique";"Long";26;0,0912280701754386
"Terrestre";"MERAPI";0;0;0;0;0;0;0;76;0;"Terrestre";"Long";2;0,00701754385964912
"Terrestre";"MILCAL";0;0;0;0;0,9;1,7;1;71;0,0123456790123457;"Terrestre";"Court";14;0,0491228070175439
"Terrestre";"MOTALB";0;0;0;0;0,6;1;1;57,5;0,019327731092437;"Terrestre";"Court";38;0,133333333333333
"Terrestre";"MOTCIN";0;0;0;0;0;0,4;0,5;57,5;0,00458715596330275;"Terrestre";"Court";22;0,0771929824561404
"Terrestre";"MOTFLA";0;0;0;0;0;0;0;57,5;0;"Terrestre";"Long";7;0,0245614035087719
"Terrestre";"MUSSTR";0;0;0;0;1;2;4,5;57,5;0,0942454026632847;"Terrestre";"Long";84;0,294736842105263
"Terrestre";"OENOEN";0;0;0;0;0;0;0;83;0;"Terrestre";"Long";4;0,0140350877192982
"Terrestre";"ORIORI";0;0;0;0;0,5;0,875;1;57,5;0,0188746438746439;"Terrestre";"Long";26;0,0912280701754386
"Terrestre";"OTUSCO";0;0;0;0;0;0;0;95;0;"Terrestre";"Long";4;0,0140350877192982
"Terrestre";"PANBIA";0;0;0;0;0;0;0;88;0;"Aquatique";"Court";1;0,00350877192982456
"Terrestre";"PAPALU";0;0;0;1;2;3;12;57,5;0,260064412238325;"Terrestre";"Court";161;0,564912280701754
"Terrestre";"PARATE";0;0;0;0;0,9;1;2;59;0,0246913580246914;"Terrestre";"Court";31;0,108771929824561
"Terrestre";"PARCAE";0;0;1;2,25;4;6;32,5;57,5;0,607100119664938;"Terrestre";"Court";267;0,936842105263158
"Terrestre";"PARCRI";0;0;0;0,75;1;2,075;5;57,5;0,096875;"Terrestre";"Court";95;0,333333333333333
"Terrestre";"PARMAJ";0;1;3;5;7;9,825;46,5;57,5;0,835769980506823;"Terrestre";"Court";280;0,982456140350877
