"YEAR";"HABITAT";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup"
2016;"STOC-rozo";"Long";0,0636856368563686;0,164238008500304;0,2;0,37093023255814;0,45979758828596
2017;"STOC-rozo";"Long";0,0416666666666667;0,301942567567568;0,414241164241164;0,59040346907994;1,14692371280113
2018;"STOC-rozo";"Long";0,0602564102564103;0,21875;0,3;0,4;0,923971377459749
2019;"STOC-rozo";"Long";0,01;0,121212121212121;0,144927536231884;0,260869565217391;0,642367066895368
2020;"STOC-rozo";"Long";0,00833333333333333;0,0948170731707317;0,175239755884917;0,239583333333333;0,451176470588235
2021;"STOC-rozo";"Long";0,00833333333333334;0,108448093220339;0,195261437908497;0,269624842370744;0,405595315549772
2022;"STOC-rozo";"Long";0,0108695652173913;0,145502645502645;0,181818181818182;0,417857142857143;0,80078125
1989;"Terrestre";"Long";0,0102564102564103;0,102564102564103;0,205128205128205;0,285490931832395;0,357817385866166
1990;"Terrestre";"Long";0,0291841004184101;0,130894870025305;0,189393939393939;0,283730158730159;0,456914759869248
1991;"Terrestre";"Long";0;0,122727272727273;0,221790890269151;0,278142589118199;0,360715408805031
1992;"Terrestre";"Long";0;0,118253968253968;0,227513227513228;0,446428571428571;0,721616541353383
1993;"Terrestre";"Long";0,0761904761904762;0,239417989417989;0,285714285714286;0,343073593073593;0,70625
1994;"Terrestre";"Long";0;0,0643236074270557;0,261363636363636;0,33031914893617;0,668346774193548
1995;"Terrestre";"Long";0;0;0,142857142857143;0,303125;0,52115987460815
1996;"Terrestre";"Long";0;0,0214285714285714;0,0869565217391304;0,261592741935484;0,645833333333333
1997;"Terrestre";"Long";0,0183333333333333;0,105895915678524;0,187683284457478;0,303333333333333;1,435
1998;"Terrestre";"Long";0;0,141891891891892;0,265625;0,392361111111111;0,642543859649123
1999;"Terrestre";"Long";0;0,17578125;0,248571428571429;0,389772727272727;1,3075
2000;"Terrestre";"Long";0;0,0625;0,22680412371134;0,588235294117647;1,15178137651822
2001;"Terrestre";"Long";0;0,145604395604396;0,306666666666667;0,482142857142857;1
2002;"Terrestre";"Long";0;0,142857142857143;0,25;0,476190476190476;0,922962962962964
2003;"Terrestre";"Long";0;0,1875;0,318181818181818;0,661016949152542;1,30714285714286
2004;"Terrestre";"Long";0;0,103678929765886;0,320754716981132;0,5;1,45833333333333
2005;"Terrestre";"Long";0;0,0889935165174437;0,254027926960258;0,421207264957265;1,09309210526316
2006;"Terrestre";"Long";0;0,121527777777778;0,333333333333333;0,586148648648649;1,90833333333333
2007;"Terrestre";"Long";0;0,087012987012987;0,2;0,398214285714286;0,908333333333333
2008;"Terrestre";"Long";0;0;0,192307692307692;0,428571428571429;1,22769230769231
2009;"Terrestre";"Long";0;0,170289855072464;0,3;0,514705882352941;1,07761904761905
2010;"Terrestre";"Long";0;0,100274725274725;0,28498985801217;0,491666666666667;2,03333333333332
2011;"Terrestre";"Long";0;0,0813186813186813;0,25;0,534936479128857;0,955555555555552
2012;"Terrestre";"Long";0;0;0,131884057971014;0,29989604989605;0,825
2013;"Terrestre";"Long";0;0;0,142857142857143;0,330508474576271;0,768750000000001
2014;"Terrestre";"Long";0;0,0769230769230769;0,2;0,5;1,51368421052631
2015;"Terrestre";"Long";0;0;0,236694677871148;0,5;1,16415960451977
2016;"Terrestre";"Long";0;0;0,136363636363636;0,288888888888889;0,634545454545455
2017;"Terrestre";"Long";0;0,0357142857142857;0,270434782608696;0,5;1,04464285714286
2018;"Terrestre";"Long";0;0,0826923076923077;0,262013729977117;0,5;1,19166666666667
2019;"Terrestre";"Long";0;0;0,208333333333333;0,393939393939394;0,979310344827586
2020;"Terrestre";"Long";0;0;0,216216216216216;0,466666666666667;2,2
2021;"Terrestre";"Long";0;0;0,178409090909091;0,333333333333333;1
2022;"Terrestre";"Long";0;0,1;0,233333333333333;0,5625;1,22162162162162
