"AGE_first";"YEAR";"BIOGEOREF";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup"
"AD";1999;"National";-0,107142857142857;-0,0285714285714286;0,0056179775280899;0,0714285714285715;0,174615173172073
"JUV";1999;"National";-0,142857142857143;-0,0476190476190476;0;0,0476190476190476;0,115882352941176
"AD";2000;"National";-0,114571948998179;-0,0178571428571428;0,0303030303030303;0,108187134502924;0,25
"JUV";2000;"National";-0,14244105409154;0;0,0303030303030303;0,0909090909090909;0,19047619047619
"AD";2001;"National";-0,117647058823529;-0,0374175824175825;0;0,0666666666666667;0,236016042780748
"JUV";2001;"National";-0,162857142857143;-0,0476190476190477;0;0,0432098765432098;0,142857142857143
"AD";2002;"National";-0,121212121212121;-0,0303030303030303;0;0,0666666666666667;0,236363636363636
"JUV";2002;"National";-0,12621359223301;-0,0456581072801203;0;0,0572049239681391;0,152389277389278
"AD";2003;"National";-0,127159090909091;-0,0334388971684054;0,0185185185185185;0,0714285714285715;0,25
"JUV";2003;"National";-0,142857142857143;-0,0476190476190477;0;0,0571895424836601;0,144278606965174
"AD";2004;"National";-0,118557422969187;-0,0465116279069767;0;0,0666666666666667;0,25
"JUV";2004;"National";-0,142857142857143;-0,0476190476190476;0;0,0679611650485436;0,194444444444444
"AD";2005;"National";-0,12;-0,0340909090909091;0,0112359550561798;0,0697674418604651;0,266746150024839
"JUV";2005;"National";-0,142857142857143;-0,0476190476190476;0;0,0606060606060606;0,17283950617284
"AD";2006;"National";-0,137662337662337;-0,0340909090909091;0;0,0666666666666667;0,230783959153282
"JUV";2006;"National";-0,142857142857143;-0,0454545454545455;0;0,0714285714285714;0,181818181818182
"AD";2007;"National";-0,125;-0,0303030303030303;0,0133333333333333;0,0714285714285715;0,25
"JUV";2007;"National";-0,142857142857143;-0,0304433221099888;0,0119047619047619;0,080246913580247;0,218863518422418
"AD";2008;"National";-0,133333333333333;-0,0357142857142857;0,00588235294117655;0,0666666666666667;0,25
"JUV";2008;"National";-0,152097902097902;-0,0463327370304114;0;0,0588235294117647;0,176470588235294
"AD";2009;"National";-0,124229249011858;-0,0454545454545455;0;0,0588235294117647;0,235294117647059
"JUV";2009;"National";-0,142857142857143;-0,0476190476190477;0;0,0476190476190476;0,146533613445378
"AD";2010;"National";-0,117647058823529;-0,0238095238095238;0,0232558139534884;0,0744186046511629;0,25
"JUV";2010;"National";-0,135802469135802;-0,0476190476190476;0;0,0493827160493828;0,154532967032967
"AD";2011;"National";-0,133333333333333;-0,0476190476190476;0;0,0588235294117647;0,204464285714286
"JUV";2011;"National";-0,142857142857143;-0,0350985221674877;0,0119047619047619;0,0600649350649351;0,151515151515152
"AD";2012;"National";-0,117647058823529;-0,0303030303030303;0;0,0666666666666667;0,235294117647059
"JUV";2012;"National";-0,142857142857143;-0,0357142857142857;0;0,0476190476190476;0,165243317751408
"AD";2013;"National";-0,127272727272727;-0,0294117647058824;0,0181818181818182;0,0705882352941176;0,247434210526316
"JUV";2013;"National";-0,130222780859917;-0,0383403361344538;0,0119047619047619;0,0601604278074866;0,207589285714286
"AD";2014;"National";-0,136363636363636;-0,036231884057971;0;0,0588235294117647;0,221497326203207
"JUV";2014;"National";-0,138461538461538;-0,0432098765432098;0,0119047619047619;0,0595238095238095;0,15791889483066
"AD";2015;"National";-0,128845208845209;-0,0303030303030303;0,0136363636363637;0,0666666666666667;0,258046212407352
"JUV";2015;"National";-0,142857142857143;-0,0357142857142857;0,00595238095238083;0,0547979797979798;0,151515151515152
"AD";2016;"National";-0,114683590492077;-0,0337121212121212;0,00588235294117655;0,0577129049111808;0,1875
"JUV";2016;"National";-0,111071428571429;-0,0432098765432098;0;0,0409356725146198;0,133333333333333
"AD";2017;"National";-0,140109439124487;-0,0422647527910686;0,00340909090909088;0,0563917744329022;0,204829545454546
"JUV";2017;"National";-0,142563965884861;-0,0476190476190476;0;0,0476190476190476;0,144740259740259
"AD";2018;"National";-0,127272727272727;-0,0434782608695652;0;0,0568181818181818;0,249015151515152
"JUV";2018;"National";-0,135802469135802;-0,0434782608695652;0;0,0476190476190477;0,16504854368932
"AD";2019;"National";-0,130928571428571;-0,0388736263736264;0;0,0592490160621211;0,25
"JUV";2019;"National";-0,142857142857143;-0,0493827160493827;-0,0083333333333333;0,0416666666666667;0,149642857142857
"AD";2020;"National";-0,124227528089888;-0,0470588235294118;0;0,0535714285714286;0,209112972304179
"JUV";2020;"National";-0,128940092165899;-0,0380952380952381;0,0083333333333333;0,0588235294117647;0,156363636363637
"AD";2021;"National";-0,128571428571429;-0,0367224880382775;0,00592180240203392;0,0644470147609607;0,250678571428571
"JUV";2021;"National";-0,136904761904762;-0,0478354978354979;0;0,0478354978354978;0,167045454545455
"AD";2022;"National";-0,135410216718266;-0,0503440366972477;0;0,0454545454545455;0,20374474789916
"JUV";2022;"National";-0,142857142857143;-0,0476190476190476;0;0,0493827160493828;0,182892356399819
