"SP";"YEAR";"AGE_first";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"BIOGEOREF"
"SYLATR";2000;"AD";"Court";15,2727272727272;16,3067318132465;17,1818181818181;18,2534292122674;20,9361486486486;"Atlantique"
"TROTRO";2000;"AD";"Court";8,39583333333333;9,33410904255319;9,60784313725492;10,0520833333333;11,9394760924274;"Atlantique"
"TURMER";2000;"AD";"Court";75,5217127239601;83,687258687259;87,288461538462;91,5120967741936;99,3897637795276;"Atlantique"
"TURPHI";2000;"AD";"Court";60,5391304347826;63,4034500968137;66,5663134819144;72,3222401145107;78,7864316239316;"Atlantique"
"AEGCAU";2001;"AD";"Court";7,3729872881356;7,87096774193549;8;8,13333333333333;8,41379310344828;"Atlantique"
"ERIRUB";2001;"AD";"Court";14,7972972972972;16,2222222222222;17,0586206896552;18,4427816901409;22,7606617647059;"Atlantique"
"FRICOE";2001;"AD";"Court";19,9581956378057;20,6702491450904;21,2584269662922;21,8681318681319;23,1892857142857;"Atlantique"
"PARCAE";2001;"AD";"Court";10,1931818181818;11;11,171875;11,6417910447761;13,7033582089552;"Atlantique"
"PARMAJ";2001;"AD";"Court";15,1898734177216;16,439127375088;17,2297297297297;18,0194805194805;20,8333333333333;"Atlantique"
"PASDOM";2001;"AD";"Court";25,4962728658537;26,0791139240506;26,8866715045961;27,8662420382166;30,7941146496815;"Atlantique"
"PHYCOL";2001;"AD";"Court";6,50894495412844;7,25409836065571;7,77780536246276;8,5435064935065;9,83333333333336;"Atlantique"
"PRUMOD";2001;"AD";"Court";15,8219178082192;18,7323943661973;19,4444444444444;20,1515151515151;23,9623421354765;"Atlantique"
"PYRULA";2001;"AD";"Court";18,4719886363636;19,7071678321678;20,4939759036145;21,6358309514087;23,5822784810127;"Atlantique"
"SYLATR";2001;"AD";"Court";15,3045797413793;16,6130136986301;17,1164383561644;18,375;21,5962089923499;"Atlantique"
"TROTRO";2001;"AD";"Court";8,14130434782609;9,38297872340425;9,90425531914893;10,6572104018912;12,785756501182;"Atlantique"
"TURMER";2001;"AD";"Court";75,0400763358776;83,0681818181817;87,0731707317073;92,2560975609756;102,189669421488;"Atlantique"
"TURPHI";2001;"AD";"Court";55,7926977687626;64,4537815126048;68,4821428571429;69,1724137931035;80,7638365691103;"Atlantique"
"AEGCAU";2002;"AD";"Court";7,16491525423729;7,625;8,23015873015874;8,78813559322034;9,6793388429752;"Atlantique"
"CETCET";2002;"AD";"Court";11,0909090909091;12,4276561320246;13,6059479553904;14,6;17,2142583732057;"Atlantique"
"ERIRUB";2002;"AD";"Court";15,1689305684995;16,2885135135135;16,7702702702702;17,6375838926174;22,8226388888889;"Atlantique"
"FRICOE";2002;"AD";"Court";19,08125;20,3253511235955;21,0090814737935;22,2247191011237;23,6423214285714;"Atlantique"
"PARCAE";2002;"AD";"Court";9,40282258064516;9,96975806451613;10,3811594202899;10,9583333333333;11,8028420275591;"Atlantique"
"PARMAJ";2002;"AD";"Court";14,6087987355111;16,7914205155747;17,4828767123288;18,3952702702703;20,6311677631579;"Atlantique"
"PASDOM";2002;"AD";"Court";22,0221752935539;25,9672605140187;27,75;28,7531645569619;30,3453614257162;"Atlantique"
"PHYCOL";2002;"AD";"Court";6,27263157894737;7,13299499443826;7,61290322580644;7,93965919701212;9,50678351618946;"Atlantique"
"PRUMOD";2002;"AD";"Court";17,2385730211817;18,5294117647059;19,4444444444444;20,4166666666666;23,3019386574074;"Atlantique"
"PYRULA";2002;"AD";"Court";18,225;20,0530120481928;20,506329113924;21,2260452961672;23,8386075949367;"Atlantique"
"SYLATR";2002;"AD";"Court";15,0974054250204;16,1095890410959;16,8851351351351;17,891447368421;20,1133882705479;"Atlantique"
"TROTRO";2002;"AD";"Court";8,15020969721767;9,19573252688172;9,79999999999998;10,4663461538461;11,7369062345374;"Atlantique"
"TURMER";2002;"AD";"Court";78,7242087777584;85,1615969581749;88,9415322580645;94,0822599531616;106,05479179911;"Atlantique"
"TURPHI";2002;"AD";"Court";60,0372861356933;65,0444282060649;69,7046413502112;70,6992073874567;79,6500000000002;"Atlantique"
"AEGCAU";2003;"AD";"Court";6,54194915254237;7,7510593220339;7,99404761904763;8,16056547619048;9,52480561189993;"Atlantique"
"CETCET";2003;"AD";"Court";11,2442396313364;13,34375;13,7741935483871;14,2661290322581;15,437514231499;"Atlantique"
"ERIRUB";2003;"AD";"Court";14,6123728813559;15,7152777777778;16,1208333333333;16,95;18,4477083333333;"Atlantique"
"FRICOE";2003;"AD";"Court";18,1398002499173;19,6793459552496;21,0111111111111;21,4249430812042;23,2835295766751;"Atlantique"
"PARCAE";2003;"AD";"Court";9,49562043795622;10;10,7459677419355;11,0474308300395;11,6653865847414;"Atlantique"
"PARMAJ";2003;"AD";"Court";15,3773145008139;16,5922182656053;17,0396373977959;17,6013851206626;19,84375;"Atlantique"
"PASDOM";2003;"AD";"Court";25,252688172043;26,6352201257862;28,0729166666667;28,25;29,2920833333333;"Atlantique"
"PHYCOL";2003;"AD";"Court";6,14097496706192;7,12916666666669;7,47152905198778;7,86666666666669;9,92340377140022;"Atlantique"
"PRUMOD";2003;"AD";"Court";16,8503787878788;18,4568773234201;19,1472926921621;20,2112676056339;22,0705169803158;"Atlantique"
"PYRULA";2003;"AD";"Court";18,3099090189873;20,4053262740403;21,0004575263078;22,6190541709254;26,3501552795031;"Atlantique"
"SYLATR";2003;"AD";"Court";14,8986486486486;16,1095890410959;17,1164383561644;18,1232876712329;20,7390170581656;"Atlantique"
"TROTRO";2003;"AD";"Court";7,69444353518821;9,52105263157895;9,8;10,3722222222222;11,5944086021505;"Atlantique"
"TURMER";2003;"AD";"Court";76,7026996625422;83,7706611570248;87,521186440678;90,7211538461543;103,318965517241;"Atlantique"
"TURPHI";2003;"AD";"Court";56,8936801953006;64,6665707818542;66,9265217391305;68,8226006363771;87,7870833333332;"Atlantique"
"AEGCAU";2004;"AD";"Court";7,41144628099173;7,78723404255319;8,06611570247934;8,31704483324221;9,48392826570792;"Atlantique"
"CETCET";2004;"AD";"Court";11,7713513513513;13,4259602425876;15,0153846153847;15,25;15,8840928819445;"Atlantique"
"ERIRUB";2004;"AD";"Court";14,649810218205;15,7152777777778;16,2885135135135;17,3390310402685;20,7562335602661;"Atlantique"
"FRICOE";2004;"AD";"Court";19,9069961566178;20,5029612247178;21,4;22,7588622935919;25,9370596309288;"Atlantique"
"PARCAE";2004;"AD";"Court";9,67121212121208;10,2;10,5978260869565;11;12,9415784289584;"Atlantique"
"PARMAJ";2004;"AD";"Court";15,2922077922077;16,8269230769231;17,3437499999999;17,7631578947369;19,4582933844679;"Atlantique"
"PASDOM";2004;"AD";"Court";22,1407595549106;25;26,3421052631579;27,2911392405062;30,88;"Atlantique"
"PHYCOL";2004;"AD";"Court";6,54346539162112;7,17019595141697;7,5;7,84920463046817;9,29188111888111;"Atlantique"
"PRUMOD";2004;"AD";"Court";16,9065155228758;18,5182225063939;19,2253521126761;20,2026378896883;23,402092760181;"Atlantique"
"PYRULA";2004;"AD";"Court";19,183788109756;19,911561178219;20,705625;21,4384035775545;24,7103610978804;"Atlantique"
"SYLATR";2004;"AD";"Court";14,6037624983769;15,9956375838926;16,7929054054053;17,8847453222453;20,9483339508174;"Atlantique"
"TROTRO";2004;"AD";"Court";8,25343750000001;9,36907801418439;9,84899999999996;10,3308333333333;12,0236413043478;"Atlantique"
"TURMER";2004;"AD";"Court";76,9140885750963;84,3609022556392;88,0357142857143;91,6406250000001;102,417501082485;"Atlantique"
"TURPHI";2004;"AD";"Court";60,1093487394959;63,7996031746033;66,972972972973;70,0321065746597;77,7011158137745;"Atlantique"
"AEGCAU";2005;"AD";"Court";7,04049586776859;7,74603174603176;8,10156250000002;8,5;9,5;"Atlantique"
"CETCET";2005;"AD";"Court";12,3281659567497;13,1908048373645;13,8870967741936;14,6740558292283;15,9851190476191;"Atlantique"
"ERIRUB";2005;"AD";"Court";15,1412925170068;16,2328947368421;17;17,887417218543;21,8234899328859;"Atlantique"
"FRICOE";2005;"AD";"Court";19,422699556541;20,406779661017;20,9892720306513;22,1070588235294;23,8636203370707;"Atlantique"
"PARCAE";2005;"AD";"Court";9,78899999999997;10,3174603174603;10,6640625;11,412213740458;12,6119402985075;"Atlantique"
"PARMAJ";2005;"AD";"Court";15,5543218573879;16,5738209159262;17,3631245601689;18,0906407714492;20,521511130137;"Atlantique"
"PASDOM";2005;"AD";"Court";23,64;25,025;26,5;27,2317073170733;29,1030573248408;"Atlantique"
"PHYCOL";2005;"AD";"Court";6,50873015873016;7,21111111111111;7,43697478991594;7,97297297297297;9,41245283018868;"Atlantique"
"PRUMOD";2005;"AD";"Court";16,5220588235294;18,2835820895522;19,1143911439114;19,8507462686567;23,1102941176471;"Atlantique"
"PYRULA";2005;"AD";"Court";18,5404988913525;19,7560975609755;21;21,6964285714285;23,3123179922441;"Atlantique"
"SYLATR";2005;"AD";"Court";15,1027397260274;16,2768166089965;17,0053511705686;18,1232876712329;20,4256846289753;"Atlantique"
"TROTRO";2005;"AD";"Court";8,38575393154486;9,12331482950039;9,8;10;11,1604567307692;"Atlantique"
"TURMER";2005;"AD";"Court";77,1552325581395;84,625512295082;88,3968105065668;94,0573770491803;103,02;"Atlantique"
"TURPHI";2005;"AD";"Court";60,0523804347827;62,4586206896552;66,4695512820514;70,0410471881059;81,3159501178897;"Atlantique"
"AEGCAU";2006;"AD";"Court";6,83199999999997;7,58066860465116;8,05078125000001;8,27953968253966;8,95912090109304;"Atlantique"
"CETCET";2006;"AD";"Court";11,8742798913043;13,7202194357367;14,1772413793103;14,6995007680492;16,1151072329688;"Atlantique"
"ERIRUB";2006;"AD";"Court";13,6634954954955;15,8911564625851;16,6857142857143;18;21,6006167129201;"Atlantique"
"FRICOE";2006;"AD";"Court";19,7287730243613;20,6713873036004;21,625730994152;22,5647619047619;23,6659785301404;"Atlantique"
"PARCAE";2006;"AD";"Court";10,0183823529412;10,4379562043796;10,8333333333333;11,0359712230216;11,8815094339623;"Atlantique"
"PARMAJ";2006;"AD";"Court";15,8633802816901;16,8686868686869;17,2297297297297;17,7631578947369;19,3;"Atlantique"
"PASDOM";2006;"AD";"Court";24,1355642712551;25,8321794516754;27,3358174097664;27,8821052631579;30,2705592105263;"Atlantique"
"PHYCOL";2006;"AD";"Court";6,88333333333335;7,34477459016392;7,64888858769312;8,12393229990509;10,4201612903226;"Atlantique"
"PRUMOD";2006;"AD";"Court";17,043115942029;18,1294964028777;18,9791666666667;19,9662990196078;21,9099335478086;"Atlantique"
"PYRULA";2006;"AD";"Court";19,0510342041476;20,384964852903;21,4698795180723;22,3242927631579;27,5908846153846;"Atlantique"
"SYLATR";2006;"AD";"Court";14,9238064544807;16,3885135135134;17,2209203090762;17,8783783783783;20,3668342062853;"Atlantique"
"TROTRO";2006;"AD";"Court";6,96425531914893;9,47333333333333;9,79999999999996;10,4154589371981;11,0788652482269;"Atlantique"
"TURMER";2006;"AD";"Court";76,8773210831721;83,3413355366362;87,288461538462;90,9334415584415;96,2226687958256;"Atlantique"
"TURPHI";2006;"AD";"Court";60,1277792588642;65,2105263157895;67,1379310344828;72,6153846153846;78,102722323049;"Atlantique"
"AEGCAU";2007;"AD";"Court";6,47596302003084;7,64101890756305;7,98846153846155;8,36290322580646;9,14474137931034;"Atlantique"
"CETCET";2007;"AD";"Court";9,77103745259166;13,2427350427351;14,6585820895522;15,6189516129032;16,4807847394541;"Atlantique"
"ERIRUB";2007;"AD";"Court";14,5265062083025;16;16,6213662929961;17,2700035561877;20,8351106639839;"Atlantique"
"FRICOE";2007;"AD";"Court";18,3571070644454;20,418108974359;21,2470588235294;22,1216424294268;23,9653540462428;"Atlantique"
"PARCAE";2007;"AD";"Court";9,6484375;10,340909090909;10,8333333333333;11,1567164179105;12,0830357142857;"Atlantique"
"PARMAJ";2007;"AD";"Court";15,1064189189189;16,5584415584415;17,3067434210526;18,2660678137652;20,2472897968824;"Atlantique"
