"YEAR";"AGE_first";"SP";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"HABITAT"
1993;"JUV";"PRUMOD";"Court";0,00555555555555554;0,0555555555555556;0,111111111111111;0,166666666666667;0,216666666666667;"Terrestre"
1994;"JUV";"PRUMOD";"Court";0,125;0,125;0,125;0,125;0,125;"Terrestre"
1995;"JUV";"PRUMOD";"Court";0,25;0,25;0,25;0,25;0,25;"Terrestre"
1996;"JUV";"PRUMOD";"Court";0;0;0;0;0;"Terrestre"
1997;"JUV";"PRUMOD";"Court";0;0;0;0;0;"Terrestre"
1998;"JUV";"PRUMOD";"Court";0;0;0;0;0;"Terrestre"
2000;"JUV";"PRUMOD";"Court";0;0;0;0;0;"Terrestre"
2001;"JUV";"PRUMOD";"Court";0;0;0;0;0,257142857142857;"Terrestre"
2002;"JUV";"PRUMOD";"Court";0;0;0;0;0;"Terrestre"
2003;"JUV";"PRUMOD";"Court";0;0;0;0;0;"Terrestre"
2004;"JUV";"PRUMOD";"Court";0;0;0;0;0,283333333333333;"Terrestre"
2005;"JUV";"PRUMOD";"Court";0;0;0;0;0;"Terrestre"
2006;"JUV";"PRUMOD";"Court";0;0;0;0;0,0972222222222222;"Terrestre"
2007;"JUV";"PRUMOD";"Court";0;0;0;0;0,544444444444444;"Terrestre"
2008;"JUV";"PRUMOD";"Court";0;0;0;0;0,45;"Terrestre"
2009;"JUV";"PRUMOD";"Court";0;0;0;0;0,183125;"Terrestre"
2010;"JUV";"PRUMOD";"Court";0;0;0;0;0;"Terrestre"
2011;"JUV";"PRUMOD";"Court";0;0;0;0,149305555555556;0,311458333333333;"Terrestre"
2012;"JUV";"PRUMOD";"Court";0;0;0;0;0;"Terrestre"
2013;"JUV";"PRUMOD";"Court";0;0;0;0;0;"Terrestre"
2014;"JUV";"PRUMOD";"Court";0;0;0;0;0;"Terrestre"
2015;"JUV";"PRUMOD";"Court";0;0;0;0;0,4125;"Terrestre"
2016;"JUV";"PRUMOD";"Court";0;0;0;0;0,10625;"Terrestre"
2017;"JUV";"PRUMOD";"Court";0;0;0;0;0;"Terrestre"
