"YEAR";"HABITAT";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"ESPECE"
2010;"Terrestre";1,41;2,5;3;9,67741935483871;30,6242424242424;"ACRSCI"
2011;"Terrestre";1,3625;3;4,27272727272727;12,5604838709677;37,3352272727273;"ACRSCI"
2012;"Terrestre";1,35444078947368;3;5,6140350877193;9,59090909090909;40,6363636363636;"ACRSCI"
2013;"Terrestre";1,39285714285714;2,79220779220779;4,09090909090909;9,28260869565217;36,3409090909091;"ACRSCI"
2014;"Terrestre";1,71314102564103;2,625;3,79984051036683;13,3939393939394;37,4727272727273;"ACRSCI"
2015;"Terrestre";1,13942307692308;3;6;12,75;39,2;"ACRSCI"
2016;"Terrestre";1,02120535714286;2,625;7;13,4166666666667;37,3295454545455;"ACRSCI"
2017;"Terrestre";1,74375;2,59615384615385;6,36363636363636;10,3125;34,7;"ACRSCI"
2018;"Terrestre";1,16464285714286;2,5;4,14285714285714;13,75;33,025;"ACRSCI"
2019;"Terrestre";1,35219449225473;2,37359550561798;3,07692307692308;14,3333333333333;27,5;"ACRSCI"
2020;"Terrestre";1,5;2,54166666666667;5,5;14,8863636363636;26,375;"ACRSCI"
2021;"Terrestre";1,63875;3;4,5;13,4848484848485;28,85;"ACRSCI"
2022;"Terrestre";1,85714285714286;2,88461538461538;5;8,33333333333333;32,4666666666667;"ACRSCI"
1989;"Terrestre";5,4;5,4;5,4;5,4;5,4;"AEGCAU"
1990;"Terrestre";0,635;0,871212121212121;1,8;3,12352941176471;4,18285714285714;"AEGCAU"
1991;"Terrestre";0,842272727272727;1,22272727272727;1,85828877005348;3,10399159663866;5,13182773109244;"AEGCAU"
1992;"Terrestre";1,20905660377359;1,29056603773585;2,37466307277628;5,78571428571429;12,15;"AEGCAU"
1993;"Terrestre";0,895833333333333;2,73214285714286;3,85714285714286;4,67142857142857;4,975;"AEGCAU"
1994;"Terrestre";0,788753799392097;2,14285714285714;2,5;3,6;4,21714285714286;"AEGCAU"
1995;"Terrestre";0,608403361344538;0,789915966386555;1,11038961038961;1,49147727272727;1,83664772727273;"AEGCAU"
1996;"Terrestre";0,950793650793651;1,50793650793651;2,43609022556391;3,97556390977444;6,18327067669173;"AEGCAU"
1997;"Terrestre";0,978763204225352;1,34544106745738;1,82395644283122;2,15360501567398;9,64772727272727;"AEGCAU"
1998;"Terrestre";0,953510436432637;1,55745967741935;2,09134615384615;4,12955465587044;11,8421052631579;"AEGCAU"
1999;"Terrestre";0,901058201058201;1,2962962962963;2,18181818181818;7,5;8,58870967741936;"AEGCAU"
2000;"Terrestre";1,44746543778802;2,90322580645161;3;3,24324324324324;3,82432432432432;"AEGCAU"
2001;"Terrestre";0,852272727272727;2,07142857142857;3,74962443665498;4,64285714285714;6,875;"AEGCAU"
2002;"Terrestre";0,664039039039039;1,68478260869565;2,32142857142857;3,8;9,49015151515151;"AEGCAU"
2003;"Terrestre";0,645424836601307;2,10714285714286;3,51117318435754;8,39285714285714;11,15625;"AEGCAU"
2004;"Terrestre";1,15625;1,66666666666667;2,61363636363636;4,28571428571429;6,75986842105263;"AEGCAU"
